35,0,1926,35,1112,60,1818,104,0,0,1573,0,0,
35,0,2073,35,1197,60,2073,104,0,0,1693,0,0,
35,0,2073,35,1197,60,2073,104,0,0,1693,0,0,
35,0,2040,35,1178,60,2040,104,0,0,1666,0,0,
35,0,2012,35,1162,60,2012,104,0,0,1643,0,0,
35,0,1599,35,923,60,1599,104,0,0,1306,0,0,
35,0,1554,35,897,60,1554,104,0,0,1269,0,0,
35,0,1554,35,897,60,1554,104,0,0,1269,0,0,
35,0,1554,35,897,60,1554,104,0,0,1269,0,0,
35,0,1554,35,897,60,1554,104,0,0,1269,0,0,
35,0,1554,35,897,60,1554,104,0,0,1269,0,0,
35,0,1554,35,897,60,1554,104,0,0,1269,0,0,
35,0,1554,35,897,60,1554,104,0,0,1269,0,0,
35,0,1548,35,893,60,1548,104,0,0,1264,0,0,
35,0,706,35,408,60,707,104,0,0,577,0,0,
35,0,360,35,208,60,444,104,0,0,294,0,0,
35,0,249,35,144,60,249,104,0,0,203,0,0,
35,0,198,35,114,60,199,104,0,0,162,0,0,
